semester,id,jid,mdays,location,times,final-exam,urc,attendance,wiki
201830,CS-428+828,"Mon,Wed,Fri",CK-185,"13:30-14:20","Fri, Dec 21, 2018 @ 14:00"
201910,CS-205,"Tue,Thu,Fri",CL-410,"11:30-12:20","Tue, Apr 23, 2019 @ 14:00"
201910,CS-280,"Mon,Wed,Fri",CL-127,"12:30-13:20","Wed, Apr 24, 2019 @ 09:00"
201920,CS-499+900,"Tue,Thu",CL-312,"12:30-13:45",""
201930,CS-428+828,"Tue,Thu",ED-106.2,"16:00-17:15","Thu, Dec 19, 2019 @ 14:00"
202010,CS-205,"Tue,Thu",CL-417,"10:00-11:15","Thu, Apr 16, 2020 @ 09:00","Thu, Feb 27, 2020 @ 10:00"
202010,CS-280,"Tue,Thu",CL-130,"14:30-15:45","Tue, Apr 21, 2020 @ 14:00","Tue, Mar 3, 2020 @ 14:30"
202010,CS-499+900,"Mon,Wed,Fri",CL-317,"09:30-10:20","",""
202030,CS-428+828,"Tue,Thu",CL-408,"11:30-12:45","Tue, Dec 22, 2020 @ 14:00"
202110,CS-205,"Tue,Thu","URC+Zoom","13:00-14:15","Thu, Apr 29, 2021 @ 14:00",
202110,CS-280,"Tue,Thu","URC+Zoom","11:30-12:45","Tue, Apr 20, 2021 @ 14:00",
202110,CS-499+900,"Mon,Wed,Fri","URC+Zoom",15:30-16:20,,
202130,CS-428+828,"Mon,Wed,Fri",URC+Zoom,"12:30-13:20","Wed, Dec 22, 2021 @ 9:00",20981
202210,CS-280,CS-280,"Tue,Thu","Hybrid","08:30-09:45","Tue, Apr 19, 2022 @ 09:00",23069,1740941,8516
202210,CS-499+900,CS-499_900,"Mon,Wed,Fri","In-Person","13:30-14:20",,
202210,CS-730,CS-730,"Tue,Thu","Remote","13:00-14:15",,22922,1739604,8490
202230,CS-428+828,CS-428_828,"Mon,Wed,Fri",ED-388,"09:30-10:20","Wed, Dec 14, 2022 @ 9:00",24538,1900809,
202230,CS-499+900,CS-499_900,"Mon,Wed,Fri","RI-209","15:30-16:20",,
202230,CS-733,CS-733,"Tue,Thu",CL-313,"11:30-12:45","Tue, Dec 20, 2022",24685,1915402,
